#Timestep exx eyy ezz sxx syy szz sxy sxz syz sxx1 lz pxx
105800 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00809631251137239 0.00233464207355214 0.00473109216834783 -0.31406099124122 0.0013827794931294 -0.00114487083913493 7.36027830558711 110.000086616651 0.0809631251137255
105900 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 -0.00161834657883555 -0.00211764916317314 -0.0034399970697111 -0.319650770483058 -0.000165013542946946 -0.00121880118634673 -1.47122300410132 110.000086616651 -0.0161834657883579
106000 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00297263773662435 4.96469017451094e-05 0.000287298000071042 -0.32496352697267 -0.00163348545927813 -0.0013667056211475 2.70239581445418 110.000086616651 0.0297263773662434
106100 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00636567907388641 0.00158550365940957 0.00294816361646366 -0.33034064019988 -0.00192474359397191 -0.00135667380202311 5.78697641945568 110.000086616651 0.063656790738864
106200 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 -0.00290203366247822 -0.00268391367588239 -0.00474182503417696 -0.335884885864994 -0.000685384523083382 -0.00119425667685224 -2.63821034304434 110.000086616651 -0.029020336624784
106300 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00770462553453574 0.00224252933003751 0.00390966771261697 -0.341166635415805 0.00108806994423362 -0.00114483872913924 7.00419951612063 110.000086616651 0.0770462553453567
106400 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00147082944167788 -0.000521247810600118 -0.00118644027912287 -0.346680803134336 0.002062807653504 -0.00103510517287367 1.33711662137477 110.000086616651 0.0147082944167795
106500 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.000381749582057818 -0.00113194455258694 -0.00206253050879642 -0.352080604545243 0.00157702871966921 -0.00107284308258845 0.347044801326576 110.000086616651 0.00381749582057538
106600 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00845641831846545 0.00243385449947159 0.00436052120374906 -0.357340952130909 1.68202118390212e-05 -0.00111230861637697 7.68764696334828 110.000086616651 0.0845641831846549
106700 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 -0.0020264131035837 -0.00242186190712473 -0.00425731317246584 -0.362928709538721 -0.00154890861656973 -0.00114003438856773 -1.84219227994404 110.000086616651 -0.020264131035835
106800 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00582594556831853 0.00101149773183455 0.00201474120710336 -0.368232451416108 -0.00192193883495626 -0.00117668388211533 5.29630998257473 110.000086616651 0.0582594556831868
106900 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00503384381879275 0.000766663957687244 0.00132427961974654 -0.373638623769988 -0.00081562941567903 -0.00106986847180145 4.57621805002358 110.000086616651 0.050338438187928
107000 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 -0.00118735344470969 -0.00215222276279947 -0.00389689065501114 -0.379130676814523 0.000911632786881258 -0.000935541678377023 -1.07941137250883 110.000086616651 -0.0118735344470992
107100 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00920557040464286 0.00255109781825362 0.00448267493399079 -0.384408493638153 0.00199397415016591 -0.000785105207447582 8.36869377814598 110.000086616651 0.0920557040464293
107200 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.000450158279821701 -0.00154132765318352 -0.00272328975500026 -0.389954136138824 0.0016725503660978 -0.00069674327084135 0.40923447759682 110.000086616651 0.00450158279821948
107300 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.0035855404467669 -0.000333984607084164 -0.00038883276035754 -0.395323444663382 0.000168475266972457 -0.000694256592280605 3.25957965766197 110.000086616651 0.0358554044676697
107400 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00829755421003427 0.00187878644212987 0.00333725678561464 -0.400642749179871 -0.00142806324157348 -0.000685284489110848 7.54322516031387 110.000086616651 0.0829755421003417
107500 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 -0.00126476148318879 -0.00243710739000328 -0.00452303116323665 -0.406252521967581 -0.00202578220285898 -0.00065798271533033 -1.149782261169 110.000086616651 -0.0126476148318852
107600 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00865681773104963 0.00198216012141935 0.00345456020492681 -0.411475373486642 -0.0010885548933307 -0.000549173590886804 7.8698281040619 110.000086616651 0.0865681773104967
