# Lammps sturcture data file
# ntot =         4080
        4080   atoms
           8 atom types

          0.00000000         97.44400000   xlo xhi
          0.00000000         96.84000000   ylo yhi
          0.00000000        110.00000000   zlo zhi

Atoms

         169           1          0.30000001         68.08800001         55.30000001
         170           2          1.73300001         68.89500001         56.21100001
         171           3          3.16600001         68.08800001         55.30000001
         172           4          4.59900001         68.89500001         56.21100001
         173           5          0.30000001         69.70200001         55.30000001
         174           6          1.73300001         70.50900001         56.21100001
         175           7          3.16600001         69.70200001         55.30000001
         176           8          4.59900001         70.50900001         56.21100001
         177           1          0.30000001         71.31600001         55.30000001
         178           2          1.73300001         72.12300001         56.21100001
         179           3          3.16600001         71.31600001         55.30000001
         180           4          4.59900001         72.12300001         56.21100001
         181           5          0.30000001         72.93000001         55.30000001
         182           6          1.73300001         73.73700001         56.21100001
         183           7          3.16600001         72.93000001         55.30000001
         184           8          4.59900001         73.73700001         56.21100001
         185           1          0.30000001         74.54400001         55.30000001
         186           2          1.73300001         75.35100001         56.21100001
         187           3          3.16600001         74.54400001         55.30000001
         188           4          4.59900001         75.35100001         56.21100001
         189           5          0.30000001         76.15800001         55.30000001
         190           6          1.73300001         76.96500001         56.21100001
         191           7          3.16600001         76.15800001         55.30000001
         192           8          4.59900001         76.96500001         56.21100001
         193           1          0.30000001         77.77200001         55.30000001
         194           2          1.73300001         78.57900001         56.21100001
         195           3          3.16600001         77.77200001         55.30000001
         196           4          4.59900001         78.57900001         56.21100001
         197           5          0.30000001         79.38600001         55.30000001
         198           6          1.73300001         80.19300001         56.21100001
         199           7          3.16600001         79.38600001         55.30000001
         200           8          4.59900001         80.19300001         56.21100001
         201           1          0.30000001         81.00000001         55.30000001
         202           2          1.73300001         81.80700001         56.21100001
         203           3          3.16600001         81.00000001         55.30000001
         204           4          4.59900001         81.80700001         56.21100001
         205           5          0.30000001         82.61400001         55.30000001
         206           6          1.73300001         83.42100001         56.21100001
         207           7          3.16600001         82.61400001         55.30000001
         208           8          4.59900001         83.42100001         56.21100001
         209           1          0.30000001         84.22800001         55.30000001
         210           2          1.73300001         85.03500001         56.21100001
         211           3          3.16600001         84.22800001         55.30000001
         212           4          4.59900001         85.03500001         56.21100001
         213           5          0.30000001         85.84200001         55.30000001
         214           6          1.73300001         86.64900001         56.21100001
         215           7          3.16600001         85.84200001         55.30000001
         216           8          4.59900001         86.64900001         56.21100001
         217           1          0.30000001         87.45600001         55.30000001
         218           2          1.73300001         88.26300001         56.21100001
         219           3          3.16600001         87.45600001         55.30000001
         220           4          4.59900001         88.26300001         56.21100001
         221           5          0.30000001         89.07000001         55.30000001
         222           6          1.73300001         89.87700001         56.21100001
         223           7          3.16600001         89.07000001         55.30000001
         224           8          4.59900001         89.87700001         56.21100001
         225           1          0.30000001         90.68400001         55.30000001
         226           2          1.73300001         91.49100001         56.21100001
         227           3          3.16600001         90.68400001         55.30000001
         228           4          4.59900001         91.49100001         56.21100001
         229           5          0.30000001         92.29800001         55.30000001
         230           6          1.73300001         93.10500001         56.21100001
         231           7          3.16600001         92.29800001         55.30000001
         232           8          4.59900001         93.10500001         56.21100001
         233           1          0.30000001         93.91200001         55.30000001
         234           2          1.73300001         94.71900001         56.21100001
         235           3          3.16600001         93.91200001         55.30000001
         236           4          4.59900001         94.71900001         56.21100001
         237           5          0.30000001         95.52600001         55.30000001
         238           6          1.73300001         96.33300001         56.21100001
         239           7          3.16600001         95.52600001         55.30000001
         240           8          4.59900001         96.33300001         56.21100001
         241           1          6.03200001          0.30000001         55.30000001
         242           2          7.46500001          1.10700001         56.21100001
         243           3          8.89800001          0.30000001         55.30000001
         244           4         10.33100001          1.10700001         56.21100001
         245           5          6.03200001          1.91400001         55.30000001
         246           6          7.46500001          2.72100001         56.21100001
         247           7          8.89800001          1.91400001         55.30000001
         248           8         10.33100001          2.72100001         56.21100001
         249           1          6.03200001          3.52800001         55.30000001
         250           2          7.46500001          4.33500001         56.21100001
         251           3          8.89800001          3.52800001         55.30000001
